data_coleta,produto_id,loja,vendedor,vendedor_tipo,anuncio_id,variacao,preco,preco_promocional,frete_valor,frete_prazo_dias,custo_extra,custo_total,custo_operacional_mensal,tco_meses,valor_revenda_estimado,tco_total,nota,n_avaliacoes,nota_ajustada,garantia_meses,garantia_tipo,link,flag_suspeita,fonte,confirmacao,score
2026-09-04T00:00:00,samsung-galaxy-fit3,Mercado Livre,Catalogo Mercado Livre,terceiro,,,279.0,,0.0,,0.0,279.0,0.0,,0.0,279.0,4.9,12081,4.888,,nenhuma,https://www.mercadolivre.com.br/smartwatch-samsung-galaxy-fit3-display-16-grafite/p/MLB68588490,,web,coleta,
2026-09-04T00:00:00,huawei-band-9,Mercado Livre,Catalogo Mercado Livre,terceiro,,,239.88,,0.0,,0.0,239.88,0.0,,0.0,239.88,4.8,9670,4.787,,nenhuma,https://www.mercadolivre.com.br/smartband-huawei-band-9-preto-desenho-da-pulseira-fluoroelastomero/p/MLB34192767,,web,coleta,
2026-09-04T00:00:00,xiaomi-smart-band-9-active,Amazon,VI Import,terceiro,,,169.0,,0.0,,0.0,169.0,0.0,,0.0,169.0,4.4,3790,4.394,,nenhuma,https://www.amazon.com.br/Xiaomi-Smart-Active-vers%C3%A3o-global/dp/B0CW3DGP12,,web,coleta,
2026-09-04T10:25:58,xiaomi-smart-band-9-active,Amazon,MultiVendas Prime,terceiro,,,169.0,,0.0,14,0.0,169.0,0.0,,0.0,169.0,4.4,3790,4.394,3,nacional,https://www.amazon.com.br/Xiaomi-Smart-Active-vers%C3%A3o-global/dp/B0CW3DGP12,,manual,"conferido: preco, frete, vendedor, link, garantia-meses",
2026-09-04T10:26:45,xiaomi-smart-band-9-active,Amazon,MultiVendas Prime,terceiro,,,169.0,,0.0,14,0.0,169.0,0.0,,0.0,169.0,4.4,3790,4.394,3,importada,https://www.amazon.com.br/Xiaomi-Smart-Active-vers%C3%A3o-global/dp/B0CW3DGP12,,manual,"conferido: preco, frete, vendedor, link",
2026-09-04T11:39:41,huawei-band-9,Mercado Livre,nao identificado (relatado),terceiro,,amarelo/bisel prateado,312.0,,0.0,,0.0,312.0,0.0,,0.0,312.0,0.0,0,,,nenhuma,https://www.mercadolivre.com.br/smartband-huawei-band-9-amarelo-bisel-prateado-desenho-da-pulseira-fluoroelastomero/p/MLB34214008,,web,coleta,
2026-09-04T11:39:41,huawei-band-9,Amazon,nao identificado,terceiro,,rosa,399.0,,0.0,,0.0,399.0,0.0,,0.0,399.0,4.6,97,4.384,,nenhuma,https://www.amazon.com.br/Smartband-HUAWEI-confort%C3%A1vel-Monitoramento-compat%C3%ADvel/dp/B0CZ73CSPK,,web,coleta,
2026-09-04T14:47:49,xiaomi-smart-band-9-active,Amazon,MultiVendas Prime,terceiro,,,169.0,,0.0,14,0.0,169.0,0.0,,0.0,169.0,4.4,3790,4.394,3,importada,https://www.amazon.com.br/dp/B0CW3DGP12,,manual,"conferido: preco, frete, vendedor, link, garantia-meses",
2026-09-05T00:00:00,huawei-band-9,Mercado Livre,"nao identificado (relatado como HUAWEI, instavel entre consultas)",terceiro,,preto/fluoroelastomero,290.99,,0.0,,0.0,290.99,0.0,,0.0,290.99,0.0,0,,,nenhuma,https://www.mercadolivre.com.br/smartband-huawei-band-9-preto-desenho-da-pulseira-fluoroelastomero/p/MLB34192767,,web,coleta,
2026-09-05T00:00:00,huawei-band-10,KaBuM,Magalu,terceiro,,preto,199.0,,0.0,,0.0,199.0,0.0,,0.0,199.0,5.0,2,4.306,3,vendedor,https://www.kabum.com.br/produto/729518/relogio-smartwatch-huawei-band-10-tela-1-47-amoled-inteligente-preto,,web,coleta,
2026-09-05T00:00:00,huawei-band-11,Mercado Livre,Loja oficial Huawei,oficial,,"preto, liga de aluminio",278.07,,0.0,,0.0,278.07,0.0,,0.0,278.07,4.9,6000,4.876,,nenhuma,https://www.mercadolivre.com.br/smartband-huawei-band-11-preta-com-tela-amoled-de-162-e-resistencia-a-agua/p/MLB64374260,,manual,coleta,
2026-09-05T00:00:00,huawei-band-11,Amazon,Imagem Hitech FULL,terceiro,,preto polimero,214.95,,0.0,,0.0,214.95,0.0,,0.0,214.95,4.7,679,4.592,,nenhuma,https://www.amazon.com.br/s?k=huawei+band+11,,manual,coleta,
2026-09-05T00:00:00,samsung-galaxy-fit3,Mercado Livre,CCMAGAZINE,terceiro,,,275.0,,0.0,,0.0,275.0,0.0,,0.0,275.0,4.9,14678,4.89,,nenhuma,https://www.mercadolivre.com.br/smartwatch-samsung-galaxy-fit3-display-16-grafite/p/MLB68588490,,manual,coleta,
2026-09-05T00:00:00,huawei-band-11-pro,Mercado Livre,nao identificado (melhor preco),terceiro,,,346.0,,0.0,,0.0,346.0,0.0,,0.0,346.0,4.9,1389,4.808,,nenhuma,https://www.mercadolivre.com.br/smartwatch-huawei-band-11-pro-posicionamento-gnss-autonomo-tela-162-amoled-bateria-com-autonomia-de-ate-14-dias-monitoramento-aprimorado-do-sono-compativel-com-ios-e-android-preto/p/MLB64375526,,manual,coleta,
2026-09-05T00:00:00,huawei-band-11-pro,Amazon,Reypi Oficial,terceiro,,,369.55,,0.0,,0.0,369.55,0.0,,0.0,369.55,0.0,0,,,nenhuma,https://www.amazon.com.br/gp/product/B0GL9C7WJD,,manual,coleta,
2026-09-05T00:00:00,redmi-watch-5-lite,Mercado Livre,LUCASMARMIROLI,terceiro,,light gold/dourado,298.86,,0.0,,0.0,298.86,0.0,,0.0,298.86,4.9,5541,4.874,,nenhuma,https://www.mercadolivre.com.br/relogio-smartwatch-redmi-watch-5-lite-com-gps-caixa-light-gold-pulseira-dourado/p/MLB47310079,,manual,coleta,
